Subpathway	Gene name	
Growth hormone secretion	GHSR	
Growth hormone secretion	GHRHR	
Growth hormone secretion	GNAI1	
Growth hormone secretion	GNAI2	
Growth hormone secretion	GNAI3	
Growth hormone secretion	GNAS	
Growth hormone secretion	ADCY1	
Growth hormone secretion	ADCY2	
Growth hormone secretion	ADCY3	
Growth hormone secretion	ADCY4	
Growth hormone secretion	ADCY5	
Growth hormone secretion	ADCY6	
Growth hormone secretion	ADCY7	
Growth hormone secretion	ADCY8	
Growth hormone secretion	SSTR2	
Growth hormone secretion	SSTR3	
Growth hormone secretion	SSTR4	
Growth hormone secretion	SSTR5	
Growth hormone secretion	PRKACA	
Growth hormone secretion	PRKACB	
Growth hormone secretion	PRKACG	
Growth hormone secretion	EP300	
Growth hormone secretion	FOS	
Growth hormone secretion	CREB3L1	
Growth hormone secretion	CREB3L2	
Growth hormone secretion	CREB3L3	
Growth hormone secretion	CREB3L4	
Growth hormone secretion	CREB1	
Growth hormone secretion	CREB3	
Growth hormone secretion	CREB5	
Growth hormone secretion	GH1	
Growth hormone secretion	GH2	
IGF-1 secretion	GHR	
IGF-1 secretion	JAK1	
IGF-1 secretion	JAK2	
IGF-1 secretion	TYK2	
IGF-1 secretion	STAT1	
IGF-1 secretion	STAT3	
IGF-1 secretion	STAT5A	
IGF-1 secretion	STAT5B	
IGF-1 secretion	SH2B1	
IGF-1 secretion	SH2B3	
IGF-1 secretion	SOCS1	
IGF-1 secretion	SOCS2	
IGF-1 secretion	SOCS3	
IGF-1 secretion	EP300	
IGF-1 serum balance	IGF1	
IGF-1 serum balance	IGF2	
IGF-1 serum balance	INS	
IGF-1 serum balance	INS-IGF2	
IGF-1 serum balance	INSL4	
IGF-1 serum balance	INSL6	
IGF-1 serum balance	INSL5	
IGF-1 serum balance	IGFBP1	
IGF-1 serum balance	IGFBP2	
IGF-1 serum balance	IGFBP3	
IGF-1 serum balance	IGFBP4	
IGF-1 serum balance	IGFBP5	
IGF-1 serum balance	IGFBP6	
IGF-1 serum balance	PAPPA2	
IGF-1 serum balance	PAPPA	
