Pathway	Gene symbol
Purine metabolism	NT5C1B-RDH14
Purine metabolism	NME6
Purine metabolism	AK6
Purine metabolism	PAICS
Purine metabolism	ADCY1
Purine metabolism	ADCY2
Purine metabolism	PDE10A
Purine metabolism	ADCY3
Purine metabolism	ADCY5
Purine metabolism	NUDT5
Purine metabolism	ADCY6
Purine metabolism	ADCY7
Purine metabolism	ADCY8
Purine metabolism	ADCY9
Purine metabolism	NT5C3B
Purine metabolism	AK7
Purine metabolism	ADSS1
Purine metabolism	CANT1
Purine metabolism	NUDT16
Purine metabolism	ADK
Purine metabolism	ADSL
Purine metabolism	AK8
Purine metabolism	ADSS2
Purine metabolism	DCK
Purine metabolism	DGUOK
Purine metabolism	ADCY4
Purine metabolism	AK1
Purine metabolism	AK2
Purine metabolism	AK4
Purine metabolism	AK9
Purine metabolism	PRPS1L1
Purine metabolism	FHIT
Purine metabolism	ENP
Purine metabolism	NT5C2
Purine metabolism	GART
Purine metabolism	AK5
Purine metabolism	AMPD1
Purine metabolism	AMPD2
Purine metabolism	PDE7B
Purine metabolism	AMPD3
Purine metabolism	GMPR
Purine metabolism	GUCY1A2
Purine metabolism	GUCY1A1
Purine metabolism	GUCY1B1
Purine metabolism	GUCY2C
Purine metabolism	GUCY2F
Purine metabolism	GUK1
Purine metabolism	NME7
Purine metabolism	GUCY2D
Purine metabolism	NT5C
Purine metabolism	NUDT2
Purine metabolism	HPRT1
Purine metabolism	APRT
Purine metabolism	IMPDH1
Purine metabolism	IMPDH2
Purine metabolism	ITPA
Purine metabolism	HDDC3
Purine metabolism	ENTPD8
Purine metabolism	LOC390877
Purine metabolism	ATIC
Purine metabolism	NME1
Purine metabolism	NME2
Purine metabolism	NME3
Purine metabolism	NME4
Purine metabolism	PNP
Purine metabolism	NPR1
Purine metabolism	NPR2
Purine metabolism	NT5E
Purine metabolism	RRM2B
Purine metabolism	AK3
Purine metabolism	PDE11A
Purine metabolism	NT5C3A
Purine metabolism	GMPR2
Purine metabolism	PDE1A
Purine metabolism	PDE1C
Purine metabolism	PDE2A
Purine metabolism	PDE3A
Purine metabolism	PDE3B
Purine metabolism	PDE4A
Purine metabolism	PDE4B
Purine metabolism	PDE4C
Purine metabolism	PDE4D
Purine metabolism	PDE6A
Purine metabolism	PDE6D
Purine metabolism	PDE6G
Purine metabolism	PDE6G
Purine metabolism	PDE7A
Purine metabolism	PDE8A
Purine metabolism	PDE9A
Purine metabolism	PDE1B
Purine metabolism	PDE6B
Purine metabolism	ENPP1
Purine metabolism	ENPP3
Purine metabolism	ADA2
Purine metabolism	PFAS
Purine metabolism	PGM1
Purine metabolism	PKLR
Purine metabolism	PKM
Purine metabolism	NUDT9
Purine metabolism	PPAT
Purine metabolism	PGM2
Purine metabolism	ADCY10
Purine metabolism	ALLC
Purine metabolism	PRPS1
Purine metabolism	PRPS2
Purine metabolism	NT5M
Purine metabolism	PRUNE1
Purine metabolism	RRM1
Purine metabolism	RRM2
Purine metabolism	URAD
Purine metabolism	NME1-NME2
Purine metabolism	XDH
Purine metabolism	NTPCR
Purine metabolism	NT5C1A
Purine metabolism	PDE8B
Purine metabolism	PDE5A
Purine metabolism	GMPS
Purine metabolism	PAPSS2
Purine metabolism	PAPSS1
Purine metabolism	NT5C1B
Purine metabolism	ENTPD1
Purine metabolism	ENTPD2
Purine metabolism	ENTPD6
Purine metabolism	ENTPD3
Purine metabolism	ENTPD5
Purine metabolism	ENTPD4
Purine metabolism	GDA
Solute transport	SLC2A9
Solute transport	SLC22A11
Solute transport	ABCG2
Solute transport	SLC17A1
Solute transport	SLC16A9
Solute transport	PDZK1
Solute transport	SLC5A8
Solute transport	SLC5A12
Solute transport	ABCC4
Solute transport	SLC22A7
